streamers,xQcOW,NICKMERCS,summit1g,TOTAL
peak_viewers,87831.0,69157.0,39279.0,87831.0
hours_streamed,1.6666666666666667,1.3833333333333333,1.4666666666666666,4.516666666666667
avg_h_streamed,79644.32,47724.6265060241,35134.0,54167.648835341366
